session_id,customer_id,product_id,view_time,added_to_cart,device,time_of_day
0,320,69,120,0,Mobile,Morning
1,760,173,298,0,Mobile,Morning
2,76,117,286,0,Desktop,Night
3,369,24,98,0,Mobile,Afternoon
4,300,106,76,1,Mobile,Afternoon
5,582,76,87,0,Mobile,Afternoon
6,484,108,275,1,Desktop,Morning
7,435,52,244,0,Mobile,Night
8,542,167,285,1,Desktop,Afternoon
9,908,198,257,0,Mobile,Morning
10,623,46,83,0,Mobile,Afternoon
11,215,150,165,1,Mobile,Night
12,37,67,192,0,Mobile,Morning
13,224,41,107,0,Desktop,Night
14,700,194,178,0,Mobile,Afternoon
15,473,164,139,1,Mobile,Morning
16,609,97,296,0,Mobile,Night
17,667,21,47,0,Desktop,Morning
18,590,114,48,1,Mobile,Night
19,715,166,227,0,Mobile,Morning
20,76,36,126,0,Mobile,Night
21,590,117,8,0,Mobile,Night
22,655,171,182,0,Mobile,Morning
23,111,186,160,1,Mobile,Morning
24,414,95,86,0,Mobile,Afternoon
25,448,190,9,0,Mobile,Night
26,946,72,156,0,Mobile,Afternoon
27,51,2,43,1,Mobile,Afternoon
28,724,180,177,1,Mobile,Night
29,101,97,32,1,Desktop,Night
30,445,162,286,0,Mobile,Afternoon
31,186,189,38,0,Desktop,Morning
32,453,0,157,1,Mobile,Afternoon
33,745,118,55,0,Mobile,Night
34,584,146,73,1,Mobile,Afternoon
35,608,1,179,0,Desktop,Morning
36,796,22,257,0,Mobile,Night
37,912,113,245,0,Desktop,Afternoon
38,331,78,271,1,Mobile,Morning
39,243,79,300,0,Mobile,Morning
40,589,130,114,1,Mobile,Afternoon
41,438,37,257,0,Mobile,Afternoon
42,132,143,9,0,Mobile,Afternoon
43,779,179,243,1,Mobile,Afternoon
44,771,63,183,0,Mobile,Night
45,611,2,219,1,Desktop,Night
46,471,93,268,0,Mobile,Afternoon
47,643,109,224,1,Mobile,Morning
48,18,188,218,0,Mobile,Morning
49,574,36,14,1,Mobile,Morning
50,385,186,276,0,Mobile,Morning
51,449,62,240,0,Mobile,Night
52,634,51,212,0,Mobile,Night
53,348,60,152,0,Desktop,Night
54,921,150,261,0,Mobile,Morning
55,704,107,256,1,Mobile,Night
56,3,54,162,1,Desktop,Night
57,645,137,271,0,Mobile,Night
58,246,186,213,1,Mobile,Night
59,680,71,85,1,Mobile,Night
60,686,14,286,0,Mobile,Morning
61,574,70,192,1,Mobile,Morning
62,918,111,156,0,Desktop,Night
63,755,76,253,0,Mobile,Night
64,312,86,184,1,Mobile,Morning
65,489,41,180,0,Mobile,Afternoon
66,876,165,112,0,Mobile,Night
67,587,156,187,0,Desktop,Afternoon
68,312,170,126,0,Mobile,Night
69,396,77,20,1,Mobile,Afternoon
70,837,119,134,0,Mobile,Night
71,875,30,246,0,Mobile,Afternoon
72,391,121,132,0,Mobile,Afternoon
73,405,52,6,0,Mobile,Morning
74,893,9,68,0,Mobile,Morning
75,693,95,236,0,Desktop,Morning
76,522,66,84,0,Mobile,Night
77,780,161,273,0,Mobile,Night
78,892,57,247,0,Mobile,Night
79,544,139,227,1,Mobile,Night
80,981,89,36,0,Mobile,Morning
81,198,112,273,1,Mobile,Morning
82,266,195,202,0,Mobile,Night
83,165,19,247,0,Mobile,Afternoon
84,952,191,76,0,Mobile,Afternoon
85,517,84,252,1,Mobile,Afternoon
86,672,54,79,0,Mobile,Night
87,5,73,246,0,Mobile,Morning
88,775,48,14,0,Desktop,Afternoon
89,282,114,119,0,Mobile,Morning
90,961,10,155,0,Desktop,Morning
91,511,20,288,0,Desktop,Night
92,944,29,50,0,Mobile,Morning
93,88,146,298,0,Desktop,Morning
94,958,158,158,0,Mobile,Night
95,546,100,235,1,Mobile,Night
96,295,184,9,1,Desktop,Afternoon
97,509,149,22,0,Mobile,Morning
98,584,11,202,1,Mobile,Night
99,219,48,45,0,Mobile,Night
100,416,23,246,1,Mobile,Morning
101,961,19,124,0,Mobile,Morning
102,793,159,223,0,Mobile,Night
103,543,106,129,1,Mobile,Afternoon
104,216,39,221,0,Mobile,Night
105,709,158,118,0,Mobile,Morning
106,711,23,47,1,Mobile,Afternoon
107,155,150,196,1,Mobile,Afternoon
108,593,192,253,1,Desktop,Morning
109,497,92,48,0,Mobile,Afternoon
110,653,174,142,1,Mobile,Night
111,899,196,16,0,Mobile,Afternoon
112,914,160,129,0,Mobile,Afternoon
113,710,195,252,1,Mobile,Morning
114,188,154,174,1,Mobile,Afternoon
115,339,153,30,1,Mobile,Afternoon
116,593,105,213,1,Desktop,Night
117,929,97,277,1,Mobile,Night
118,974,31,93,0,Desktop,Night
119,385,184,271,1,Mobile,Afternoon
120,929,197,188,1,Desktop,Morning
121,814,192,280,0,Mobile,Morning
122,622,77,109,1,Mobile,Night
123,536,69,107,1,Mobile,Morning
124,466,148,85,0,Mobile,Afternoon
125,327,36,292,1,Mobile,Afternoon
126,459,11,14,1,Desktop,Afternoon
127,549,69,276,0,Mobile,Morning
128,975,176,120,1,Mobile,Afternoon
129,905,51,91,0,Mobile,Afternoon
130,301,196,227,0,Mobile,Night
131,922,164,256,0,Mobile,Afternoon
132,103,42,240,0,Desktop,Morning
133,859,180,239,0,Mobile,Afternoon
134,837,53,170,0,Desktop,Morning
135,693,193,248,0,Mobile,Morning
136,198,65,216,1,Mobile,Morning
137,285,44,11,1,Desktop,Afternoon
138,1,167,254,0,Mobile,Afternoon
139,243,178,183,0,Mobile,Night
140,737,117,121,1,Mobile,Night
141,804,66,231,1,Desktop,Afternoon
142,55,164,123,0,Mobile,Night
143,906,95,213,0,Mobile,Afternoon
144,785,19,223,0,Mobile,Morning
145,746,87,185,0,Desktop,Afternoon
146,149,57,214,0,Mobile,Night
147,71,26,134,0,Mobile,Night
148,369,180,20,0,Mobile,Night
149,611,168,183,0,Desktop,Night
150,512,27,68,0,Mobile,Night
151,908,54,180,0,Desktop,Morning
152,129,115,77,0,Mobile,Night
153,600,114,102,1,Mobile,Afternoon
154,906,188,10,0,Mobile,Afternoon
155,134,95,245,0,Desktop,Morning
156,243,80,289,0,Mobile,Afternoon
157,163,95,32,0,Mobile,Afternoon
158,412,96,85,0,Mobile,Afternoon
159,29,52,60,1,Mobile,Morning
160,95,134,22,1,Mobile,Night
161,787,59,165,0,Mobile,Morning
162,473,37,39,1,Mobile,Night
163,133,119,257,1,Desktop,Morning
164,59,139,283,0,Mobile,Night
165,678,23,163,1,Desktop,Afternoon
166,799,52,64,0,Mobile,Night
167,716,171,249,0,Mobile,Night
168,551,61,9,0,Mobile,Morning
169,829,185,36,1,Mobile,Morning
170,417,165,140,1,Mobile,Afternoon
171,915,164,216,0,Mobile,Afternoon
172,106,86,56,0,Mobile,Afternoon
173,816,121,200,0,Mobile,Morning
174,507,121,107,1,Mobile,Morning
175,939,49,229,1,Desktop,Afternoon
176,827,158,17,0,Desktop,Morning
177,676,131,232,1,Mobile,Night
178,550,89,125,0,Mobile,Afternoon
179,749,82,163,1,Mobile,Afternoon
180,848,187,194,0,Mobile,Night
181,390,196,12,0,Mobile,Morning
182,850,76,105,1,Mobile,Afternoon
183,355,33,5,1,Desktop,Night
184,721,56,188,0,Mobile,Night
185,745,67,33,0,Mobile,Afternoon
186,319,11,285,0,Mobile,Morning
187,879,73,270,0,Mobile,Night
188,911,77,103,0,Mobile,Morning
189,474,148,280,0,Mobile,Morning
190,686,111,276,1,Mobile,Morning
191,370,11,180,0,Mobile,Night
192,434,25,234,0,Desktop,Morning
193,562,43,172,1,Mobile,Morning
194,287,157,213,0,Mobile,Night
195,530,153,152,0,Mobile,Afternoon
196,52,177,283,1,Mobile,Morning
197,76,196,138,0,Mobile,Afternoon
198,575,123,19,0,Mobile,Afternoon
199,700,179,132,0,Mobile,Night
200,184,49,282,1,Mobile,Afternoon
201,183,113,281,0,Desktop,Afternoon
202,358,21,123,1,Mobile,Afternoon
203,595,107,141,1,Mobile,Afternoon
204,402,142,289,1,Mobile,Morning
205,641,183,96,0,Mobile,Afternoon
