txn_id,customer_id,product_id,txn_date,amount,category,payment_mode,merchant_type,is_discounted
0,521,97,2026-03-21 10:52:54,1921,Groceries,UPI,Online,0
1,571,115,2025-08-30 22:11:32,1099,Apparel,UPI,Offline,1
2,467,163,2025-06-24 01:03:33,1620,Apparel,Debit Card,Offline,0
3,210,185,2026-04-15 22:32:52,1884,Wellness,UPI,Offline,0
4,755,67,2026-03-04 20:08:34,1777,Beauty,Credit Card,Offline,1
5,504,137,2025-04-25 17:56:25,280,Wellness,UPI,Online,1
6,749,159,2025-07-29 00:57:10,48089,Beauty,Credit Card,Online,1
7,434,15,2026-02-25 01:05:07,990,Wellness,Debit Card,Online,0
8,898,175,2025-07-26 14:45:44,1049,Apparel,Credit Card,Offline,1
9,422,101,2025-06-13 06:56:18,1778,Wellness,Debit Card,Offline,0
10,412,139,2025-10-14 11:11:38,724,Wellness,Debit Card,Offline,1
11,944,135,2026-01-08 01:20:19,1870,Beauty,Credit Card,Offline,0
12,837,181,2025-08-26 16:46:00,12952,Electronics,Credit Card,Offline,1
13,543,4,2025-10-24 11:23:17,1455,Apparel,Debit Card,Online,0
14,615,131,2026-03-13 20:15:35,38226,Electronics,Debit Card,Online,0
15,905,126,2025-12-01 09:51:42,40992,Electronics,UPI,Online,1
16,239,66,2025-07-29 02:44:29,1777,Wellness,UPI,Offline,0
17,56,103,2025-10-02 09:44:01,44829,Electronics,UPI,Online,1
18,396,179,2025-09-24 12:31:55,1907,Apparel,UPI,Offline,1
19,253,5,2026-03-17 16:31:02,28600,Electronics,UPI,Offline,1
20,406,26,2025-11-29 23:04:42,1753,Wellness,UPI,Online,0
21,312,59,2025-06-23 02:25:34,1213,Apparel,UPI,Offline,1
22,215,64,2025-10-15 11:09:49,1854,Wellness,Credit Card,Online,0
23,270,56,2026-03-23 08:08:33,1583,Groceries,UPI,Offline,0
24,135,10,2025-05-13 03:55:24,1007,Groceries,UPI,Offline,0
25,248,132,2025-11-12 15:09:53,655,Wellness,Credit Card,Offline,0
26,425,188,2025-12-30 16:18:06,340,Apparel,UPI,Offline,1
27,22,94,2025-07-03 11:22:22,1852,Apparel,Debit Card,Online,1
28,492,55,2026-02-02 18:42:07,748,Beauty,UPI,Offline,0
29,130,146,2025-09-13 23:00:28,412,Wellness,UPI,Offline,1
30,682,119,2025-08-16 14:27:41,283,Beauty,Debit Card,Offline,0
31,543,181,2026-01-15 15:06:43,12952,Electronics,UPI,Online,1
32,551,167,2025-06-02 08:20:37,24209,Beauty,UPI,Online,0
33,643,32,2026-04-09 12:09:46,37977,Electronics,UPI,Online,1
34,722,91,2025-07-18 03:55:06,868,Beauty,Credit Card,Offline,0
35,119,130,2025-05-31 05:19:05,50362,Electronics,UPI,Online,0
36,754,121,2025-12-15 15:00:15,816,Apparel,UPI,Offline,1
37,430,35,2025-10-31 09:47:52,1709,Groceries,UPI,Offline,0
38,306,100,2025-11-13 03:31:25,1603,Beauty,UPI,Online,1
39,551,121,2025-07-30 16:06:49,816,Apparel,Debit Card,Offline,0
40,846,163,2026-01-14 00:31:38,1620,Apparel,Credit Card,Online,0
41,768,30,2025-06-08 17:08:53,1107,Wellness,Debit Card,Offline,1
42,976,128,2025-11-17 20:41:11,1636,Wellness,UPI,Online,0
43,160,170,2025-07-18 14:47:18,1162,Apparel,Debit Card,Online,0
44,390,87,2025-08-12 01:37:12,1226,Groceries,UPI,Offline,1
45,912,11,2025-06-07 00:16:34,158,Apparel,UPI,Online,0
46,382,9,2026-01-29 04:19:14,418,Beauty,UPI,Online,1
47,952,106,2025-12-04 23:27:36,1631,Beauty,Debit Card,Online,1
48,188,148,2025-08-09 22:29:53,1436,Apparel,Credit Card,Offline,1
49,924,175,2025-06-15 14:42:45,1049,Apparel,Credit Card,Online,1
50,804,16,2025-07-25 22:54:07,990,Beauty,UPI,Offline,0
51,326,16,2025-06-22 19:53:29,990,Beauty,Credit Card,Online,0
52,25,63,2025-05-09 00:28:25,876,Wellness,UPI,Online,1
53,537,129,2025-08-17 13:36:08,1594,Wellness,Credit Card,Online,1
54,496,155,2025-04-23 14:09:04,411,Groceries,UPI,Offline,1
55,339,142,2025-05-30 13:48:56,664,Wellness,Debit Card,Offline,1
56,8,103,2025-08-03 12:33:13,44829,Electronics,UPI,Offline,1
57,212,78,2025-10-14 16:21:42,1183,Groceries,UPI,Offline,1
58,153,36,2025-09-11 03:16:40,1709,Beauty,UPI,Online,1
59,869,115,2025-08-23 14:31:59,1099,Apparel,UPI,Offline,1
60,537,34,2025-09-01 19:44:29,65694,Electronics,Credit Card,Offline,1
61,522,121,2026-03-07 14:13:47,816,Apparel,UPI,Online,1
62,784,104,2025-05-03 09:20:08,44829,Beauty,Credit Card,Online,0
63,756,169,2025-12-07 21:40:11,1316,Beauty,Credit Card,Offline,0
64,143,143,2026-03-24 23:22:39,664,Beauty,UPI,Offline,0
65,919,131,2025-05-21 21:04:45,38226,Electronics,UPI,Offline,1
66,383,142,2025-11-26 02:41:56,664,Wellness,Debit Card,Online,1
67,727,77,2026-01-17 00:32:47,62349,Beauty,Credit Card,Offline,0
68,445,166,2025-06-26 15:38:40,24209,Beauty,Credit Card,Offline,0
69,401,126,2025-06-27 10:06:03,40992,Electronics,Debit Card,Offline,0
70,116,106,2025-10-17 19:58:40,1631,Beauty,UPI,Online,1
71,573,136,2026-01-25 00:30:42,42347,Electronics,UPI,Online,0
72,217,18,2026-04-01 19:13:33,721,Apparel,UPI,Online,1
73,70,170,2026-01-24 07:07:42,1162,Apparel,UPI,Online,0
74,256,178,2026-03-05 04:11:20,377,Beauty,Credit Card,Offline,1
75,118,178,2025-05-25 03:51:20,377,Beauty,UPI,Offline,1
76,750,96,2026-01-21 12:16:01,1982,Beauty,UPI,Online,1
77,502,66,2026-03-27 17:01:38,1777,Wellness,UPI,Offline,0
78,369,106,2026-02-13 22:49:25,1631,Beauty,Credit Card,Offline,1
79,156,37,2025-06-09 07:18:57,214,Apparel,UPI,Offline,0
80,480,160,2025-11-05 13:45:55,476,Groceries,UPI,Online,1
81,758,192,2025-12-07 15:49:24,34175,Beauty,Credit Card,Offline,0
82,167,96,2025-11-11 23:28:32,1982,Beauty,UPI,Offline,1
83,708,197,2025-08-08 08:45:00,7426,Electronics,Debit Card,Online,0
84,787,143,2025-09-21 11:52:12,664,Beauty,UPI,Online,1
